id,pkg,github,split,file,qualname,rule_first,ver_first,ver_last,n_versions_observed,label,days_span,fixed_ver_before,fixed_ver_after,signals_added,attribution_status,attributed_pr,attributed_commit_url,commits_in_window
deepteam:0.0.1:attack_simulator/attack_simulator.py:AttackSimulator.generate_remote_attack:d34d7ab66bc9da33,deepteam,confident-ai/deepteam,held-out,attack_simulator/attack_simulator.py,AttackSimulator.generate_remote_attack,,0.0.1,0.0.9,3,FIXED,,0.0.5,0.0.9,raise,ok,,https://github.com/confident-ai/deepteam/commit/ec46b0848c187f81d3c727962bbb9acf42b558b7,2
deepteam:0.0.5:__init__.py:check_for_update:55baab301208bde2,deepteam,confident-ai/deepteam,held-out,__init__.py,check_for_update,no-action,0.0.5,1.0.9,9,SURVIVED,497.4,,,,,,,
deepteam:0.0.5:__init__.py:check_for_update:de50b0d58920d41e,deepteam,confident-ai/deepteam,held-out,__init__.py,check_for_update,no-action,0.0.5,1.0.9,9,SURVIVED,497.4,,,,,,,
deepteam:0.2.7:attacks/multi_turn/bad_likert_judge/template.py:BadLikertJudgeTemplate.extract_score_3_example:455e0968e6efb7db,deepteam,confident-ai/deepteam,held-out,attacks/multi_turn/bad_likert_judge/template.py,BadLikertJudgeTemplate.extract_score_3_example,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:attacks/multi_turn/utils.py:a_enhance_attack:05d299d359373737,deepteam,confident-ai/deepteam,held-out,attacks/multi_turn/utils.py,a_enhance_attack,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:attacks/multi_turn/utils.py:enhance_attack:04b0effe7a085565,deepteam,confident-ai/deepteam,held-out,attacks/multi_turn/utils.py,enhance_attack,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.3:guardrails/guardrails.py:Guardrails.a_guard_input:3374cb068e81ac12,deepteam,confident-ai/deepteam,held-out,guardrails/guardrails.py,Guardrails.a_guard_input,,0.2.3,1.0.9,5,SURVIVED,364.8,,,,,,,
deepteam:0.2.3:guardrails/guardrails.py:Guardrails.a_guard_output:3374cb068e81ac12,deepteam,confident-ai/deepteam,held-out,guardrails/guardrails.py,Guardrails.a_guard_output,,0.2.3,1.0.9,5,SURVIVED,364.8,,,,,,,
deepteam:0.2.3:guardrails/guardrails.py:Guardrails.guard_input:45f71a442be787e1,deepteam,confident-ai/deepteam,held-out,guardrails/guardrails.py,Guardrails.guard_input,,0.2.3,1.0.9,5,SURVIVED,364.8,,,,,,,
deepteam:0.2.3:guardrails/guardrails.py:Guardrails.guard_output:ba4c27a848a0220b,deepteam,confident-ai/deepteam,held-out,guardrails/guardrails.py,Guardrails.guard_output,,0.2.3,1.0.9,5,SURVIVED,364.8,,,,,,,
deepteam:0.2.3:guardrails/guards/base_guard.py:BaseGuard._guard:01c6982752596116,deepteam,confident-ai/deepteam,held-out,guardrails/guards/base_guard.py,BaseGuard._guard,,0.2.3,1.0.9,5,SURVIVED,364.8,,,,,,,
deepteam:0.2.3:guardrails/guards/base_guard.py:BaseGuard.a_guard:30da7aea0f9e3a98,deepteam,confident-ai/deepteam,held-out,guardrails/guards/base_guard.py,BaseGuard.a_guard,,0.2.3,1.0.9,5,SURVIVED,364.8,,,,,,,
deepteam:0.1.7:metrics/agentic/amnesia_assessment/amnesia_assessment.py:AmnesiaAssessmentMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/amnesia_assessment/amnesia_assessment.py,AmnesiaAssessmentMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.2.7:metrics/agentic/amnesia_assessment/amnesia_assessment.py:AmnesiaAssessmentMetric._a_evaluate:1bf122185a1f78f7,deepteam,confident-ai/deepteam,held-out,metrics/agentic/amnesia_assessment/amnesia_assessment.py,AmnesiaAssessmentMetric._a_evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/amnesia_assessment/amnesia_assessment.py:AmnesiaAssessmentMetric.a_generate_purpose:53e294f9e79441ec,deepteam,confident-ai/deepteam,held-out,metrics/agentic/amnesia_assessment/amnesia_assessment.py,AmnesiaAssessmentMetric.a_generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/amnesia_assessment/amnesia_assessment.py:AmnesiaAssessmentMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/amnesia_assessment/amnesia_assessment.py,AmnesiaAssessmentMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/amnesia_assessment/amnesia_assessment.py:AmnesiaAssessmentMetric.generate_purpose:8f5a465d08cdcc29,deepteam,confident-ai/deepteam,held-out,metrics/agentic/amnesia_assessment/amnesia_assessment.py,AmnesiaAssessmentMetric.generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.1.7:metrics/agentic/amnesia_assessment/amnesia_assessment.py:AmnesiaAssessmentMetric.is_successful:0245c88b4c5cc5a1,deepteam,confident-ai/deepteam,held-out,metrics/agentic/amnesia_assessment/amnesia_assessment.py,AmnesiaAssessmentMetric.is_successful,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.1.7:metrics/agentic/boundary_violation/boundary_violation.py:BoundaryViolationMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/boundary_violation/boundary_violation.py,BoundaryViolationMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.2.7:metrics/agentic/boundary_violation/boundary_violation.py:BoundaryViolationMetric._a_evaluate:1bf122185a1f78f7,deepteam,confident-ai/deepteam,held-out,metrics/agentic/boundary_violation/boundary_violation.py,BoundaryViolationMetric._a_evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/boundary_violation/boundary_violation.py:BoundaryViolationMetric.a_generate_purpose:53e294f9e79441ec,deepteam,confident-ai/deepteam,held-out,metrics/agentic/boundary_violation/boundary_violation.py,BoundaryViolationMetric.a_generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/boundary_violation/boundary_violation.py:BoundaryViolationMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/boundary_violation/boundary_violation.py,BoundaryViolationMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
